,1,0.5,0.2
314,4-5,4.5-4.9,4.4-4.5
315,4-5,4.0-4.4,4.0-4.1
316,3-4,3.5-3.9,3.8-3.9
317,4-5,4.0-4.4,4.2-4.3
318,4-5,4.5-4.9,4.4-4.5
319,3-4,3.5-3.9,3.6-3.7
320,4-5,4.0-4.4,4.0-4.1
321,4-5,4.0-4.4,4.2-4.3
322,4-5,4.5-4.9,4.4-4.5
323,4-5,4.0-4.4,4.2-4.3
324,4-5,4.0-4.4,4.2-4.3
325,4-5,4.5-5.0,4.8-5.0
326,4-5,4.0-4.4,4.2-4.3
327,4-5,4.0-4.4,4.4-4.5
328,4-5,4.0-4.4,4.2-4.3
329,4-5,4.0-4.4,4.4-4.5
330,3-4,3.5-3.9,3.8-3.9
331,4-5,4.0-4.4,4.2-4.3
332,4-5,4.5-4.9,4.6-4.7
333,4-5,4.0-4.4,4.0-4.1
334,3-4,3.5-3.9,3.6-3.7
335,4-5,4.5-4.9,4.4-4.5
336,3-4,3.5-3.9,3.6-3.7
337,4-5,4.5-4.9,4.8-4.9
338,4-5,4.0-4.4,4.0-4.1
339,4-5,4.0-4.4,4.2-4.3
340,1-2,1.5-1.9,1.4-1.5
341,4-5,4.0-4.4,4.2-4.3
342,4-5,4.5-4.9,4.4-4.5
343,4-5,4.0-4.4,4.4-4.5
344,4-5,4.0-4.4,4.2-4.3
345,4-5,4.0-4.4,4.2-4.3
346,4-5,4.0-4.4,4.2-4.3
347,3-4,3.5-3.9,3.6-3.7
348,4-5,4.0-4.4,4.2-4.3
349,4-5,4.5-4.9,4.4-4.5
350,4-5,4.0-4.4,4.2-4.3
351,4-5,4.0-4.4,4.0-4.1
352,4-5,4.5-4.9,4.6-4.7
353,4-5,4.5-4.9,4.6-4.7
354,4-5,4.0-4.4,4.2-4.3
355,4-5,4.5-4.9,4.4-4.5
356,3-4,3.5-3.9,3.4-3.5
357,2-3,2.5-2.9,2.6-2.7
358,4-5,4.0-4.4,4.2-4.3
359,4-5,4.0-4.4,4.4-4.5
360,3-4,3.5-3.9,3.4-3.5
361,4-5,4.0-4.4,4.0-4.1
362,3-4,3.0-3.4,3.0-3.1
363,4-5,4.5-4.9,4.4-4.5
364,4-5,4.0-4.4,4.2-4.3
365,4-5,4.5-4.9,4.4-4.5
366,4-5,4.0-4.4,4.2-4.3
367,4-5,4.5-4.9,4.4-4.5
368,4-5,4.5-4.9,4.4-4.5
369,4-5,4.0-4.4,4.0-4.1
370,4-5,4.0-4.4,4.4-4.5
371,3-4,3.5-3.9,3.6-3.7
372,4-5,4.0-4.4,4.0-4.1
373,3-4,3.0-3.4,3.2-3.3
374,4-5,4.0-4.4,4.4-4.5
375,4-5,4.0-4.4,4.4-4.5
376,4-5,4.0-4.4,4.4-4.5
377,4-5,4.0-4.4,4.2-4.3
378,4-5,4.0-4.4,4.4-4.5
379,4-5,4.5-4.9,4.6-4.7
380,4-5,4.5-4.9,4.4-4.5
