,numerical
746,4.7
1105,4.6
4237,4.7
7235,4.4
3165,4.4
2838,3.9
4240,4.5
5046,3.8
6858,4.6
5966,4.9
1194,4.9
8717,3.5
3834,4.5
6306,4.3
60,4.3
6905,3.8
4374,4.4
4282,4.6
5310,3.9
2588,4.2
8048,4.5
98,4.7
4090,2.3
1014,4.3
4924,3.3
4258,3.7
930,4.2
7590,2.2
165,4.5
3158,4.7
8256,4.4
6504,4.5
656,4.6
5158,4.0
3266,4.3
1254,4.6
4567,4.2
460,4.2
1978,4.2
1567,4.6
1812,4.6
608,4.1
8031,4.0
7122,2.2
8360,4.0
5673,4.2
9164,4.6
9160,5.0
900,3.8
2303,4.2
1749,4.9
674,4.0
4247,4.4
3578,4.0
6398,3.1
2962,4.2
8632,4.2
809,3.1
8891,4.1
1727,4.6
3104,4.0
2937,4.6
5559,4.4
9150,4.4
7556,4.1
3312,3.8
5689,3.8
7473,4.4
1699,4.1
7241,3.7
817,4.3
9247,4.6
7128,4.6
1972,4.7
9098,4.7
1901,4.3
1325,4.5
2116,3.6
6698,5.0
1088,4.4
8742,3.8
805,4.3
5523,3.3
3793,3.9
364,3.9
5358,4.5
4098,4.1
2392,4.4
3073,4.4
3025,4.3
1629,4.5
8561,3.1
577,4.2
3743,3.7
4605,4.4
4418,3.8
9111,4.2
4768,4.9
2547,4.3
1754,4.5
1111,4.1
6363,4.8
1619,4.5
427,4.4
2656,4.2
8420,4.3
2594,4.3
7602,4.5
5879,4.7
7550,4.5
4219,3.4
9036,4.2
1955,4.4
2211,4.7
1967,4.6
7419,4.2
7715,2.8
5883,4.1
1670,4.5
895,3.6
1212,4.5
2119,4.5
2548,4.2
7520,5.0
1319,4.6
5021,4.8
2539,4.5
7519,4.5
8861,3.9
7991,4.4
7595,3.7
391,4.5
4311,3.4
5963,4.9
1401,3.8
1289,4.5
3438,4.7
4711,3.5
2339,5.0
3040,4.4
6789,3.7
8049,4.2
1591,4.5
2961,4.1
2509,4.2
8821,3.7
4706,2.8
8609,4.7
1659,4.6
3062,4.1
3282,4.6
4035,4.0
2086,4.4
3815,4.5
5941,5.0
4900,4.0
4295,5.0
1564,4.4
5064,4.0
1474,4.5
9194,3.5
1241,4.9
5383,3.8
1679,4.7
4713,3.7
2337,5.0
3941,4.0
4804,3.7
7178,4.7
563,4.2
7820,3.7
3450,4.8
3520,3.7
2361,4.5
182,4.4
4341,3.9
4710,4.0
1849,4.6
5487,4.5
8584,4.2
3168,4.3
3521,4.6
9353,3.8
7574,4.3
3136,3.1
3054,4.0
4593,4.4
7665,4.3
7162,4.2
1102,4.6
336,4.3
7666,4.3
5084,4.3
2380,4.3
3256,4.2
5297,4.2
2406,4.4
946,4.2
3388,4.5
8967,4.1
337,4.0
1281,4.4
2216,4.2
4349,4.1
6760,4.4
8472,4.7
5492,4.2
5010,4.6
1195,4.8
8203,4.5
2625,4.6
8039,4.0
717,4.0
1756,4.6
8619,3.7
219,4.7
5441,4.4
800,4.7
2079,4.3
4788,1.9
851,4.4
90,4.6
787,4.6
2391,3.1
7155,3.2
3278,4.3
1240,4.6
9212,2.9
5684,4.3
1219,4.4
209,4.4
7490,4.5
7170,3.3
1161,4.6
564,4.1
7826,4.0
6379,4.6
7107,3.2
4851,4.0
1387,4.3
7706,4.0
6752,3.3
7925,3.0
4885,4.1
5344,4.2
8347,5.0
4136,4.6
4597,4.8
9108,3.9
7830,1.6
5660,4.3
8714,3.3
7770,4.5
2377,3.8
5287,3.4
990,4.2
4962,5.0
8853,3.9
4952,5.0
5664,4.2
8075,4.4
5531,2.1
5191,4.4
6405,4.4
8032,4.3
8518,3.9
2715,4.3
7722,3.1
5346,4.0
7856,4.7
670,4.3
1628,4.7
2727,4.3
8775,4.2
7514,4.4
3840,4.3
494,3.4
1418,3.7
2104,4.6
3770,4.3
6409,4.5
8098,3.5
7542,4.3
5268,4.6
1097,4.2
9091,4.0
298,3.9
566,3.6
1887,4.6
3051,4.5
7744,4.1
3330,4.4
6975,4.0
5548,4.1
4390,4.3
1653,4.6
1496,3.5
1761,4.6
7657,4.5
2561,3.3
7886,4.4
4488,4.6
3387,4.5
3543,3.8
3691,4.2
5727,3.8
7805,4.6
7495,4.3
3452,4.9
2768,4.4
7555,4.6
8948,4.3
1785,4.4
9081,4.8
3205,4.4
9093,2.9
3374,4.1
754,4.7
4985,4.2
5295,4.3
6957,4.3
7535,4.2
6020,3.8
1638,4.5
7441,4.3
2062,4.1
8926,4.1
7928,4.6
4950,4.7
886,3.9
2154,4.5
4871,3.7
565,4.0
1084,4.4
260,4.3
7986,4.6
7213,3.8
308,4.5
7091,4.2
59,4.9
1830,4.4
2203,4.6
6346,4.7
4254,4.4
4739,4.8
4290,3.0
102,4.6
4979,4.8
6490,4.5
6645,4.3
5582,4.0
3174,4.3
2657,3.8
548,3.9
6127,4.3
5479,3.6
3727,4.6
1436,4.5
7876,4.3
359,4.3
4797,4.0
4095,3.5
2826,4.2
8442,4.2
734,4.5
447,4.1
7076,4.4
6317,2.3
4089,4.5
1573,4.5
7446,4.2
1823,4.7
8646,4.6
2733,4.0
5592,4.0
9253,4.1
5553,1.9
7375,3.5
3023,4.1
1247,4.6
1441,4.6
6252,4.1
4915,4.0
4954,4.6
2448,4.3
676,3.8
8026,4.7
1753,4.2
6275,4.2
2049,4.4
9339,4.3
7633,4.6
86,4.6
6562,5.0
1815,4.5
5718,4.2
3992,3.6
6061,4.2
7004,4.4
5035,4.7
431,4.4
4501,4.7
2063,4.1
8790,4.0
4397,3.0
5430,4.1
8277,3.0
5842,4.2
305,3.7
6551,3.8
6116,3.7
4048,3.1
7600,2.6
5318,4.6
1718,4.6
8867,2.9
8786,4.7
2986,4.2
1215,4.4
