,numerical
6964,3.9
1485,4.3
584,4.5
373,4.0
7353,4.3
7969,4.5
5719,4.0
4481,4.4
3241,4.4
4291,3.6
812,4.3
3701,4.5
4716,4.0
8767,4.2
8997,3.5
8936,4.4
5735,5.0
225,4.2
3816,4.5
4175,4.4
3919,3.9
6503,4.3
8143,5.0
5399,4.2
4000,4.6
5304,4.6
4389,4.6
1555,4.0
2332,5.0
778,4.5
7996,4.2
3714,4.2
51,3.9
7142,3.0
6713,2.8
3273,4.1
940,4.6
8122,4.1
5556,4.0
3034,4.1
6111,4.5
8413,4.6
532,4.5
3311,4.4
3090,4.2
1495,4.3
147,4.1
4213,3.4
2008,4.1
2517,4.2
8395,4.4
3340,3.1
4583,3.9
115,4.1
3338,4.7
476,3.1
5413,3.8
1299,4.4
3393,4.4
611,4.5
5327,3.7
8146,4.1
463,4.2
4833,3.9
3420,4.4
4438,3.2
6387,5.0
325,4.3
6077,4.3
6676,4.1
6984,2.3
5311,4.1
8416,3.6
5958,4.7
464,2.6
3309,4.3
3885,4.3
6923,4.3
7458,4.3
3780,4.5
943,3.9
7768,4.3
2904,4.0
711,4.7
1590,4.5
5896,5.0
4899,4.0
8732,3.4
1063,4.1
402,4.4
3550,4.5
2421,4.6
1560,4.6
2328,3.8
8371,4.0
8517,3.7
7704,4.6
5864,4.1
7798,3.8
3113,4.6
3529,4.6
2916,4.6
2007,4.7
811,4.2
753,4.7
8124,4.4
1359,3.7
8193,2.4
3014,4.8
8321,3.5
2676,4.5
7772,3.7
1991,4.6
6099,4.7
6161,4.6
381,4.2
2021,4.2
4536,4.4
1217,3.9
8945,4.6
8841,4.4
4513,4.8
8788,4.3
7900,4.5
3151,4.3
9208,3.7
202,4.4
8281,3.2
4763,3.3
184,3.9
1987,4.6
1163,4.5
5860,1.0
3800,3.8
3551,4.3
4321,4.8
2381,3.8
8061,4.5
9084,3.8
5869,4.0
8532,4.2
1230,4.6
4832,4.0
5001,4.3
5666,4.3
6721,4.6
6585,3.3
3818,4.5
7844,4.4
1745,4.7
524,4.2
175,4.4
4467,3.5
6090,4.4
1070,4.1
6205,4.7
3412,4.5
9259,4.6
3647,4.0
4577,4.5
6081,4.2
105,4.7
3408,4.3
1175,3.6
5329,4.1
2677,4.5
1168,4.4
4031,4.4
5986,5.0
1836,4.3
8298,4.4
5380,4.1
7548,4.2
4393,3.7
3057,4.4
9086,4.2
1742,4.0
160,4.5
8837,3.5
2624,4.5
1667,4.4
4063,2.8
7780,4.1
2693,4.6
9159,1.5
6033,4.4
3704,4.2
3876,4.2
4707,3.9
8657,3.9
9064,5.0
8100,3.7
2297,4.1
5593,4.4
6093,4.2
4805,4.1
3126,3.9
1906,4.4
7842,5.0
7016,3.9
5305,4.0
5260,3.5
5572,4.2
322,4.0
223,4.8
8826,4.1
5242,4.2
3753,4.4
3776,4.3
6404,3.3
6794,4.1
8611,4.3
3600,4.1
511,2.5
6410,4.1
3399,4.0
216,4.3
1505,3.9
1201,4.8
2725,4.2
921,4.0
2890,4.4
3767,4.5
317,4.4
1933,4.4
4574,4.3
4371,4.1
2072,4.1
3383,4.3
2939,4.4
4881,5.0
1618,4.3
3250,4.8
896,3.8
2071,4.3
6087,3.8
5947,4.3
1798,4.7
396,4.2
1622,4.4
222,4.7
3531,4.3
7511,3.1
2041,4.1
5758,4.0
2579,4.3
2868,4.2
9029,4.5
4436,4.7
7915,4.2
1415,4.5
5509,3.9
8924,3.8
3988,4.5
3734,4.5
7536,3.8
733,4.4
4057,3.9
191,4.2
8881,4.3
915,4.5
8629,4.7
8430,4.5
290,3.9
5848,4.2
3462,3.8
3395,4.6
2659,4.7
2621,4.3
4185,4.3
301,4.1
7024,3.5
3216,4.5
8715,4.4
5783,4.5
6784,4.6
1057,4.7
3378,4.2
2324,4.0
8710,3.7
41,3.8
8815,4.4
5984,4.5
6297,4.5
2895,4.2
7385,4.3
4656,4.7
282,4.4
4268,3.8
3024,3.1
7895,3.5
5657,4.6
7242,4.9
6432,3.9
8212,4.2
7075,3.7
114,4.0
3361,4.5
1458,4.6
2741,4.4
4132,4.7
232,3.8
8596,4.4
7942,4.9
7965,4.7
5836,4.6
85,3.2
926,4.2
8651,4.2
6522,3.4
474,4.0
8620,4.4
4413,4.4
567,4.2
2288,4.7
2511,4.0
7773,3.8
4527,2.5
2334,3.7
8778,3.5
4901,3.8
2591,4.6
4110,4.3
2420,4.6
7758,4.5
2231,4.7
7964,4.5
8198,3.4
6247,4.1
4705,2.6
4509,4.3
5936,4.2
1282,4.6
6944,4.6
1128,4.2
3940,4.3
4793,4.2
7201,4.5
7469,4.7
3149,4.7
1169,4.6
4719,2.4
6610,4.6
8777,2.9
4680,4.6
2906,4.0
4085,4.2
7649,4.6
7009,3.7
5409,4.1
7033,3.6
7095,4.4
2592,4.2
4410,3.7
8245,3.9
3979,3.7
2793,4.3
9114,3.0
9039,4.1
2261,4.7
8006,4.9
3461,4.1
4500,3.8
2928,4.7
4272,4.0
4510,4.7
1760,4.5
4103,3.9
7383,4.2
4724,4.1
5590,3.7
5348,4.1
2644,4.0
7863,4.4
2506,4.3
2305,4.5
2306,4.3
3469,3.9
6378,4.5
3737,3.3
7152,4.2
8608,3.9
5546,3.9
7151,4.2
87,4.6
2942,4.6
3825,4.5
3821,4.6
2103,3.6
8633,4.2
2666,4.1
5239,3.0
4403,4.6
7030,5.0
6619,5.0
4795,4.3
3036,4.4
7019,4.6
7921,4.6
3568,4.2
7716,3.8
7374,4.3
4703,2.5
4363,4.1
5196,4.6
2085,4.8
8814,4.6
922,3.9
369,4.0
8989,4.8
5767,4.1
9233,4.6
1974,4.5
7207,5.0
7868,4.5
3717,4.5
7126,4.5
2519,4.6
8029,4.5
8857,4.3
6294,4.5
3449,4.4
7045,4.3
3652,4.0
4727,3.0
1182,4.5
8582,4.3
7086,4.3
6836,4.4
5982,4.4
7029,3.4
9165,4.7
2641,4.3
4618,4.7
8251,4.4
3964,4.9
8721,4.6
6807,4.3
6889,4.4
8893,4.2
5092,4.7
2137,4.3
1860,4.5
8574,4.2
3456,4.2
6418,4.4
5729,4.6
1676,4.3
1807,4.4
7137,3.7
8033,4.2
6027,4.3
506,3.4
7777,4.7
3636,4.1
3574,4.1
4447,3.4
5549,4.5
27,4.1
8268,3.9
2550,4.6
3413,4.0
1636,4.7
9287,3.5
6748,4.4
4027,4.5
3545,3.1
1038,4.6
2796,4.4
1931,4.4
7742,4.5
6009,4.1
5069,4.7
6691,3.6
8047,4.4
1166,4.3
3419,4.2
5315,3.8
6684,2.7
6181,3.9
4156,4.1
205,4.5
694,4.4
3428,4.1
3259,4.0
3729,4.4
7578,3.5
2295,4.2
3872,4.2
1028,4.8
772,4.4
8313,3.8
4052,4.5
2944,4.4
2707,4.4
4186,4.9
34,4.7
7971,4.6
4226,4.4
7449,3.8
1781,4.7
2933,4.1
2310,4.1
3918,4.4
4022,4.3
6851,4.6
7430,4.7
4733,3.6
8152,4.0
3912,4.4
5888,4.2
3370,4.3
5613,4.7
8739,3.8
4060,4.2
2366,4.4
4828,4.7
1468,3.2
792,4.6
4440,4.1
9157,3.8
8462,4.4
6772,4.3
5939,4.4
4612,4.5
5904,4.6
727,4.3
4515,3.8
3997,4.4
1899,4.7
6177,4.5
9048,3.6
7914,5.0
5241,3.8
2185,5.0
7792,3.4
2186,4.1
4386,4.4
8405,4.6
1632,4.4
5567,3.6
3466,4.0
7465,3.8
368,4.4
1541,4.4
8234,3.7
3363,4.3
8564,4.4
5667,4.4
1835,4.5
6463,4.2
5460,5.0
1856,4.7
1262,4.4
1962,4.5
2809,4.4
3314,4.3
2100,3.6
2089,4.2
4049,4.3
3380,4.4
2163,4.5
409,4.2
2929,4.6
8315,3.8
4235,4.2
8272,3.4
7650,4.4
1603,4.1
5928,4.3
1444,4.4
1087,4.1
2728,4.3
8658,4.3
2998,3.0
6024,3.9
1713,4.8
3676,4.0
5600,3.9
3761,4.5
8294,3.3
246,4.2
8162,3.1
3950,4.4
4287,3.9
3954,4.2
5423,4.6
6608,4.2
2032,4.2
8255,4.1
9124,4.3
3645,4.2
2812,4.3
7686,4.6
2312,3.5
1170,4.1
7613,4.4
871,3.9
7094,4.4
7647,4.2
8246,4.1
941,4.5
2578,4.7
870,4.0
3557,4.5
2455,4.2
7589,4.6
3310,4.4
6631,4.7
5785,2.9
1330,4.0
8617,4.3
6452,4.8
6271,3.7
1294,4.8
5207,4.6
54,4.4
5254,4.3
6288,4.3
168,4.9
5424,4.0
1671,4.5
1673,4.4
4917,3.6
8221,4.1
5535,5.0
4014,3.8
8134,4.7
2969,4.4
449,4.2
5899,5.0
4034,4.2
1672,4.6
2921,4.2
7513,4.1
6617,4.6
6600,3.0
1029,4.5
1304,4.0
3092,4.1
2457,4.1
9002,3.1
7906,4.6
1581,4.4
4430,4.2
2563,4.1
8248,4.5
6981,3.8
9282,4.2
2177,5.0
2099,4.4
8238,3.7
6538,2.6
198,3.1
4864,4.0
3809,4.1
3569,3.5
6079,5.0
1447,3.8
5364,4.3
426,4.4
3479,4.5
3760,4.4
8745,4.1
6534,4.3
5609,1.4
268,4.5
5003,4.1
9173,3.6
2323,3.7
1851,4.6
4409,3.9
8660,3.8
1656,4.4
26,3.9
7250,4.0
1152,4.6
2835,4.3
5449,3.1
3541,4.2
3713,3.5
7814,3.9
2982,3.9
2401,3.5
6168,3.9
8860,2.2
4325,3.1
1375,4.5
748,4.5
5373,2.3
3906,3.3
1293,4.5
2083,4.7
288,4.7
4799,4.3
6136,4.9
7286,4.3
8258,3.9
5989,4.5
8784,4.2
4286,4.4
4981,3.9
1203,4.5
2908,4.0
8372,3.1
5545,4.0
995,4.2
7437,4.1
4091,4.2
2523,4.3
118,4.6
6209,3.9
9338,4.2
3262,4.3
4432,4.0
4754,3.9
7261,4.0
2960,4.5
3977,3.4
9227,4.3
9119,4.2
3956,4.3
3689,3.7
3980,4.1
6797,3.4
2030,4.3
7902,3.9
