,numerical
987,3.7
3307,4.5
8214,4.2
2523,4.3
174,3.5
3743,3.7
4469,2.5
6735,4.0
9239,2.9
2229,2.7
2699,4.5
4494,4.5
1149,4.6
3387,4.5
3390,4.2
2022,4.1
1315,4.2
6121,4.5
4110,4.3
3087,4.5
7292,4.6
1512,3.5
3214,4.7
8376,4.1
2246,4.5
9163,3.7
2926,4.1
7041,4.7
3180,4.5
3004,4.5
8402,4.7
2892,4.3
6472,3.8
8507,4.7
4836,4.5
4031,4.4
8296,4.0
6113,4.3
8550,4.0
3680,4.3
172,4.4
5668,4.2
3673,4.2
7424,2.6
805,4.3
2806,4.5
579,4.1
1585,4.3
3478,4.7
3177,4.2
5597,2.3
3996,4.5
1263,4.2
1475,4.2
2192,3.6
7079,4.4
8513,4.1
5074,4.2
2331,3.7
6451,3.7
7627,4.5
4230,4.8
8533,3.7
8462,4.4
6254,5.0
5910,4.9
6315,2.9
5360,3.4
5080,4.4
2848,4.2
1935,4.5
8639,4.1
2764,4.3
6587,4.9
4626,2.2
8832,2.8
6566,4.7
6908,4.6
3811,4.4
8896,4.0
7633,4.6
3112,4.4
2731,4.4
7242,4.9
7457,4.4
3412,4.5
8311,3.9
4281,4.2
7830,1.6
5695,4.1
8096,4.6
9062,4.5
403,4.2
8981,4.1
512,2.8
516,4.3
8574,4.2
3937,4.3
4352,3.9
5774,4.3
4635,4.2
265,4.3
1139,4.2
5933,3.5
2097,3.9
8845,3.3
505,3.9
2245,4.8
4312,2.6
7741,4.6
198,3.1
3590,4.0
6310,1.7
5317,4.3
7289,3.1
423,4.1
362,3.7
9142,3.8
7902,3.9
7636,4.3
8899,4.1
1266,4.4
1360,4.3
1101,4.4
2895,4.2
3038,3.9
3962,4.4
7672,4.1
4637,4.1
8983,4.0
3870,4.6
2533,4.7
6649,4.2
3828,4.1
7594,3.0
6684,2.7
8707,4.3
7489,4.8
7632,4.4
1895,4.3
3733,4.3
7438,4.2
1123,4.2
2991,3.7
2316,4.2
3761,4.5
6556,4.1
5451,3.0
1001,4.0
3091,4.2
2351,4.0
2831,4.5
7867,4.6
3488,3.9
4656,4.7
3950,4.4
6424,3.2
1252,4.5
8025,4.4
4013,4.3
2945,4.5
2335,3.7
2971,4.7
4455,4.0
7927,3.7
5397,4.3
2790,4.7
810,4.6
4519,4.5
3223,4.7
8202,5.0
3253,4.7
4715,3.4
3674,4.4
2756,4.3
2159,4.4
5409,4.1
3134,3.8
4906,3.4
3816,4.5
1022,4.4
